Nom;Aspect;Curvature;DEM;Density_river;Density_road;Distance_river;Distance_road;Flow_direction;NDBI;NDVI;NDWI;Slope;TWI_final;Rainfall
Yes;0;0,527473;0,00055;0,405554;0,13449;0,128905;0,032573;0,059055;0,327;0,891596;0,673;0;0,599142;0,807287
Yes;0;0,527473;0,00055;0,4282;0,137033;0,00993;0,037914;0,059055;0,320488;0,874317;0,679512;0;0,564851;0,808092
Yes;0;0,527473;0,001649;0,389711;0,141787;0,168672;0,014254;0,059055;0,344424;0,869777;0,655576;0;0,502622;0,809057
Yes;0;0,527473;0,00055;0,538043;0,121078;0,082906;0,008091;0,122047;0,29424;0,910913;0,705761;0;0,714767;0,764512
Yes;0;0,527473;0,00055;0,470929;0,129446;0,008882;0,018091;0,059055;0,301892;0,912109;0,698108;0;0,427538;0,765062
Yes;0;0,527473;0,00055;0,459058;0,160108;0,019861;0,03821;0,248031;0,331284;0,890506;0,668716;0;0,545387;0,805801
Yes;0;0,527473;0,00055;0,409183;0,136684;0,021982;0,033138;0,059055;0,290299;0,90742;0,709701;0;0,583753;0,809085
Yes;0;0,527473;0,00055;0,452487;0,126591;0,018842;0,031593;0,059055;0,294071;0,911034;0,705928;0;0,636172;0,809911
Yes;0;0,527473;0,00055;0,437773;0,113695;0,00314;0,014473;0,059055;0,286968;0,90193;0,713032;0;0,654719;0,81106
Yes;0;0,527473;0,00055;0,476606;0,113864;0,040944;0,026569;0,059055;0,283264;0,910682;0,716736;0;0,632406;0,811456
Yes;0;0,527473;0,00055;0,425602;0,155285;0,006281;0,002895;0,122047;0,295308;0,903538;0,704692;0;0,940822;0,806618
Yes;0;0,527473;0,00055;0,448701;0,155179;0,033382;0,005834;0,059055;0,315955;0,894935;0,684045;0;0,615496;0,807866
Yes;0;0,527473;0,00055;0,596376;0,132965;0,023916;0,020068;0,059055;0,299625;0,900936;0,700375;0;0,611002;0,812435
Yes;0;0,527473;0,00055;0,561445;0,116081;0,03156;0,024315;0,059055;0,318781;0,877319;0,681219;0;0,562038;0,812689
Yes;0;0,527473;0,00055;0,569297;0,114765;0,057734;0,009067;0,059055;0,303759;0,890277;0,696241;0;0,506741;0,8136
Yes;0;0,527473;0,00055;0,594559;0,112847;0,066616;0,007237;0,059055;0,294522;0,903573;0,705478;0;0,556486;0,814567
Yes;0;0,527473;0,003299;0,580791;0,111325;0,080062;0,007794;0,059055;0,331823;0,869428;0,668176;0;0,396153;0,816561
Yes;0,450732;0,516483;0,0011;0,43044;0,156953;0,102241;0,052108;0;0,407361;0,824687;0,592639;0,030983;0,379723;0,767837
Yes;0;0,527473;0,00055;0,497482;0,140686;0,116191;0,031126;0,248031;0,3057;0,908724;0,6943;0;0,364767;0,765725
Yes;0;0,527473;0,00055;0,492995;0,163594;0,012561;0,038869;0,248031;0,384836;0,85003;0,615164;0;0,535073;0,766442
Yes;0;0,527473;0,0011;0,51761;0,160891;0,198932;0,046025;0,248031;0,347442;0,865138;0,652558;0;0,502622;0,767892
Yes;0;0,527473;0,00055;0,485784;0,164341;0,0974;0,011869;0,248031;0,320368;0,887889;0,679632;0;0,565393;0,806298
Yes;0;0,527473;0,00055;0,558731;0,135011;0,006281;0,048936;0,059055;0,319481;0,882974;0,680519;0;0,636397;0,810469
Yes;0;0,527473;0,00055;0,543125;0,145218;0,004441;0,088517;0,059055;0,308024;0,883886;0,691976;0;0,631788;0,808833
Yes;0;0,527473;0,00055;0,480668;0,146057;0,006281;0,078342;0,059055;0,395869;0,664388;0,604131;0;0,61255;0,809346
Yes;0;0,527473;0,00055;0,461509;0,141401;0,028088;0,057892;0,059055;0,510963;0,752122;0,489037;0;0,621184;0,808368
Yes;0;0,527473;0,00055;0,525103;0,132268;0,004441;0,045291;0,059055;0,385258;0,789173;0,614742;0;0,676029;0,807526
Yes;0;0,527473;0,00055;0,482459;0,150469;0,028088;0,109941;0,059055;0,310633;0,881154;0,689367;0;0,633377;0,80887
Yes;0;0,527473;0,00055;0,636979;0,147224;0,00314;0,092461;0,059055;0,374084;0,818913;0,625916;0;0,580008;0,814624
Yes;0;0,527473;0,00055;0,631971;0,140167;0,00314;0,06163;0,059055;0,339573;0,880146;0,660427;0;0,606012;0,813251
Yes;0;0,527473;0,00055;0,634456;0,13992;0,055557;0,02512;0,059055;0,291828;0,904532;0,708172;0;0,601872;0,81201
Yes;0;0,527473;0,00055;0,618013;0,134283;0,015701;0,017079;0,059055;0,321054;0,858672;0,678946;0;0,622118;0,811221
Yes;0;0,527473;0,00055;0,624764;0,131293;0,017764;0,03763;0,059055;0,316677;0,886841;0,683323;0;0,637507;0,815385
Yes;0;0,527473;0,00055;0,604488;0,138542;0,007022;0,075666;0,059055;0,244281;0,561387;0,755719;0;0,555825;0,816264
Yes;0;0,527473;0,00055;0,477701;0,099816;0,026831;0,009843;0,059055;0,304514;0,89845;0,695486;0;0,536114;0,821089
Yes;0;0,527473;0,00055;0,48934;0,105146;0,068872;0,003618;0,059055;0,305558;0,890535;0,694442;0;0,480907;0,820172
Yes;0;0,527473;0,00055;0,557425;0,11157;0,00314;0,015266;0,059055;0,335201;0,88582;0,664799;0;0,535073;0,817653
Yes;0;0,527473;0,00055;0,582792;0,121131;0,082189;0,049906;0,059055;0,323873;0,883654;0,676127;0;0,547835;0,816969
Yes;0;0,527473;0,00055;0,529506;0,112663;0,026646;0,044662;0,059055;0,299779;0,908442;0,700221;0;0,590423;0,819011
Yes;0;0,527473;0,0011;0,474487;0,163398;0,108874;0,007237;0,248031;0,391264;0,852555;0,608736;0;0,550906;0,773688
Yes;0;0,527473;0,00055;0,548328;0,111691;0,109955;0,005789;0,248031;0,31096;0,901039;0,68904;0;0,703733;0,806048
Yes;0;0,527473;0,00055;0,61031;0,137804;0,00314;0,03537;0,059055;0,35389;0,579169;0,64611;0;0,62007;0,81023
Yes;0;0,527473;0,00055;0,680739;0,102477;0,059001;0,000724;0,248031;0,320302;0,885701;0,679698;0;0,603527;0,807909
Yes;0;0,527473;0,00055;0,626903;0,125834;0,032025;0,046904;0,059055;0,287585;0,910417;0,712415;0;0,645708;0,808276
